"Cluster","Total_Points","Centroid_Lat","Centroid_Lng","Avg_Severity","Avg_Rank","Pct_Traffic_Signal","Pct_Junction","Pct_Crossing","Pct_Station","Peak_Hour","Weekend_Prop"
23,158,28.5241217240263,-81.3784928300964,2,1,100,0,100,0,10,100
185,158,28.5267892974684,-81.393618556962,2,1,100,0,100,0,13,0
122,157,28.5089365115516,-81.39152076155,2,1,100,0,100,0,10,0
68,156,28.5154956619026,-81.3790510366038,2,1,100,0,100,0,11,0
262,156,28.4947881308621,-81.3881027674348,2,1,0,0,100,0,18,0
172,155,28.5181390732584,-81.4018818106826,2,1,100,0,100,0,19,0
180,152,28.5304569996468,-81.3978774709956,2,1,0,0,100,0,7,0
352,152,28.5204405986842,-81.4164877894737,2,1,0,0,0,100,17,0
417,151,28.5041424370861,-81.4061452582781,2,1,0,0,100,0,19,100
110,149,28.5176441063758,-81.3775606214765,2,1,100,0,100,0,10,0
257,149,28.4848142400235,-81.4104616412042,2,1,0,0,100,0,13,100
325,149,28.4939991785459,-81.4359958643011,2,1,0,0,0,0,9,100
541,149,28.5109846577181,-81.4070797919463,2,1,0,0,0,100,17,0
297,148,28.5133511574864,-81.4053563661192,2,1,0,0,100,0,13,0
24,146,28.5276378623942,-81.389394915271,2,1,100,0,100,0,11,100
162,146,28.504608630137,-81.3806182123288,2,1,0,0,100,0,12,0
55,145,28.5098110323049,-81.3688215593061,2,1,0,0,0,0,4,0
264,145,28.5128313564857,-81.3732037120776,2,1,100,0,100,0,19,0
375,145,28.501632120654,-81.3953363048521,2,1,0,0,0,0,22,0
79,144,28.5518322986111,-81.4024726875,3,1,0,0,0,0,8,0
214,144,28.5157793289077,-81.4060128491725,2,1,100,0,100,0,19,100
138,142,28.5223174225352,-81.3872714788732,2,1,100,0,100,0,19,0
280,142,28.493502297367,-81.4216283940214,2,1,0,0,0,0,10,0
26,141,28.4994221631206,-81.3976677730496,2,1,0,0,100,0,12,100
565,141,28.4887663609377,-81.4117740194403,2,1,0,0,0,0,23,100
529,140,28.4836511198462,-81.4179226589489,2,1,0,0,0,0,22,0
283,137,28.5368379489051,-81.4016548248175,2,1,0,0,100,0,8,0
401,135,28.5363211511111,-81.3934855326667,2,1,0,0,100,0,12,0
